Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
220195725,Julie Chan Is Dead,Liann Zhang,"Zhang, Liann",,"=""1668067919""","=""9781668067918""",0,3.45,Atria Books,Kindle Edition,320,2025,2025,,2026/01/09,to-read,to-read (#61),to-read,,,,0,0
61442,Colonize This!: Young Women of Color on Today's Feminism (Live Girls),Bushra Rehman,"Rehman, Bushra","Daisy Hernández, Cherríe L. Moraga","=""1580050670""","=""9781580050678""",0,4.20,Seal Press,Paperback,432,2002,2002,,2026/01/09,to-read,to-read (#60),to-read,,,,0,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,4.28,Bookouture,Kindle Edition,329,2022,2022,,2025/12/17,,,read,,,,2,0
58350424,Disorientation,Elaine Hsieh Chou,"Chou, Elaine Hsieh",,"=""0593298357""","=""9780593298350""",4,3.82,Penguin Press,Hardcover,403,2022,2022,2025/11/05,2025/09/13,,,read,,,,1,0
238077732,Why the Poor Don't Kill Us,Manu Joseph,"Joseph, Manu",,"=""""","=""""",0,3.60,MIDDLEBROW,Kindle Edition,238,2025,,,2025/10/30,to-read,to-read (#59),to-read,,,,0,0
45046893,Oona Out of Order,Margarita Montimore,"Montimore, Margarita",,"=""1250236606""","=""9781250236609""",0,3.86,Flatiron Books,Hardcover,339,2020,2020,,2025/10/18,to-read,to-read (#58),to-read,,,,0,0
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",3,4.16,Liveright,Hardcover,163,2020,2016,,2025/09/09,,,read,,,,1,0
36739755,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""0802128254""","=""9780802128256""",0,3.67,Grove Press,Hardcover,163,2018,2016,,2025/09/02,to-read,to-read (#57),to-read,,,,0,0
199635125,Rejection,Tony Tulathimutte,"Tulathimutte, Tony",,"=""0063337878""","=""9780063337879""",0,3.78,William Morrow,Hardcover,272,2024,2024,,2025/06/30,to-read,to-read (#56),to-read,,,,0,0
40389527,The Woman in the Window,A.J. Finn,"Finn, A.J.",,"=""""","=""""",0,3.94,William Morrow,Kindle Edition,455,2018,2018,2025/06/20,2025/06/20,,,read,,,,1,0
213870083,Show Don't Tell,Curtis Sittenfeld,"Sittenfeld, Curtis",,"=""0593446739""","=""9780593446737""",0,3.90,Random House,Hardcover,320,2025,2025,,2025/06/16,to-read,to-read (#55),to-read,,,,0,0
45046838,"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc  Tran,"Tran, Phuc",,"=""1250194717""","=""9781250194718""",0,4.29,Flatiron Books,Hardcover,320,2020,2020,,2025/05/31,to-read,to-read (#54),to-read,,,,0,0
65502618,Lost on Me,Veronica Raimo,"Raimo, Veronica",Leah Janeczko,"=""0802162045""","=""9780802162045""",3,3.57,"Grove Press, Black Cat",Paperback,224,2023,2022,2025/05/31,2025/04/30,,,read,,,,1,0
231380692,Heart Lamp: Selected Stories,Banu Mushtaq,"Mushtaq, Banu",Deepa Bhasthi,"=""9367902298""","=""9789367902295""",0,3.79,Penguin,Kindle Edition,246,2025,2024,,2025/05/22,to-read,to-read (#53),to-read,,,,0,0
51871688,I Live in the Slums: Stories,Can Xue,"Xue, Can","Karen Gernant, Zeping Chen","=""0300247435""","=""9780300247435""",0,3.23,Yale University Press,Hardcover,344,2020,2020,,2025/04/30,to-read,to-read (#52),to-read,,,,0,0
62929342,Real Americans,Rachel Khong,"Khong, Rachel",,"=""0593537254""","=""9780593537251""",0,3.95,Knopf,Hardcover,416,2024,2024,,2025/04/30,to-read,to-read (#51),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",3,3.65,Hogarth,Hardcover,158,2016,2007,2025/04/30,2025/04/30,,,read,,,,1,0
195430687,Blue Sisters,Coco Mellors,"Mellors, Coco",,"=""0593723767""","=""9780593723760""",3,3.92,Ballantine Books,Hardcover,352,2024,2024,2025/04/25,2025/04/25,,,read,,,,1,0
173404032,"Slow Noodles: A Cambodian Memoir of Love, Loss, and Family Recipes",Chantha Nguon,"Nguon, Chantha",,"=""1643753495""","=""9781643753492""",0,4.32,Algonquin Books,Hardcover,304,2024,2024,,2025/03/30,to-read,to-read (#50),to-read,,,,0,0
222658339,The Wilderness,Angela Flournoy,"Flournoy, Angela",,"=""0063318776""","=""9780063318779""",0,3.55,Mariner Books,Hardcover,304,2025,2025,,2025/03/30,to-read,to-read (#49),to-read,,,,0,0
59366244,I’m Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1982185821""","=""9781982185824""",3,4.44,Simon & Schuster,Hardcover,304,2022,2022,2025/03/30,2025/03/30,,,read,,,,1,0
25666051,In the Country We Love: My Family Divided,Diane Guerrero,"Guerrero, Diane",Michelle Burford,"=""1627795278""","=""9781627795272""",0,4.17,Henry Holt and Co.,Hardcover,259,2016,2016,,2025/03/18,to-read,to-read (#48),to-read,,,,0,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0063236400""","=""9780063236400""",3,3.45,Ecco,Hardcover,464,2024,2017,,2025/01/28,,,read,,,,5,0
57224204,The Seven Moons of Maali Almeida,Shehan Karunatilaka,"Karunatilaka, Shehan",,"=""1908745908""","=""9781908745903""",0,3.90,Sort of Books,Hardcover,386,2022,2022,,2025/02/23,to-read,to-read (#47),to-read,,,,0,0
213344051,People of Means,Nancy    Johnson,"Johnson, Nancy",,"=""0063157519""","=""9780063157514""",0,4.03,William Morrow,Hardcover,368,2025,2025,,2025/02/12,to-read,to-read (#46),to-read,,,,0,0
199798217,The Lion Women of Tehran,Marjan Kamali,"Kamali, Marjan",,"=""1668036584""","=""9781668036587""",0,4.48,Gallery Books,Hardcover,327,2024,2024,,2025/02/11,to-read,to-read (#45),to-read,,,,0,0
50144,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana","Megan Backus, Noguchi Rika","=""0802142443""","=""9780802142443""",0,3.89,Grove Press,Paperback,160,2006,1988,,2025/02/11,to-read,to-read (#44),to-read,,,,0,0
16235,Sister of My Heart (Anju and Sudha #1),Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""038548951X""","=""9780385489515""",0,4.01,Anchor,Paperback,322,2000,2000,,2025/02/10,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4,3.73,William Morrow,Paperback,319,2023,2023,2025/02/10,2025/02/10,,,read,,,,1,0
204962337,Broken Threads: My Family From Empire to Independence,Mishal Husain,"Husain, Mishal",,"=""0008531706""","=""9780008531706""",0,4.16,Fourth Estate,Kindle Edition,321,2024,2024,,2025/02/02,to-read,to-read (#43),to-read,,,,0,0
57648017,The Storyteller: Tales of Life and Music,Dave Grohl,"Grohl, Dave",,"=""0063076098""","=""9780063076099""",0,4.43, Dey Street Books ,Hardcover,384,2021,2021,,2025/01/31,,,read,,,,1,0
44182171,My Past Is a Foreign Country,Zeba Talkhani,"Talkhani, Zeba",,"=""1473684064""","=""9781473684065""",3,4.11,Hodder & Stoughton,Hardcover,208,2019,2019,,2020/09/15,,,read,,,,2,0
36396222,The Nine-Chambered Heart,Janice Pariat,"Pariat, Janice",,"=""9352773799""","=""9789352773794""",2,3.50,Fourth Estate India,Hardcover,216,2017,2017,2025/01/28,2025/01/28,,,read,,,,1,0
219521090,Dream Count,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""059380273X""","=""9780593802731""",0,3.80,Knopf,Kindle Edition,474,2025,2025,,2025/01/27,to-read,to-read (#42),to-read,,,,0,0
15195,The Complete Maus,Art Spiegelman,"Spiegelman, Art",,"=""0141014083""","=""9780141014081""",5,4.58,Penguin Books,Paperback,296,2003,1980,,2025/01/27,,,read,,,,1,0
472331,Watchmen,Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",0,4.39,DC Comics,Paperback,416,2005,1987,,2025/01/27,currently-reading,currently-reading (#3),currently-reading,,,,1,0
24728470,M Train,Patti Smith,"Smith, Patti",,"=""1101875100""","=""9781101875100""",0,4.02,Knopf,Hardcover,256,2015,2015,,2025/01/26,to-read,to-read (#41),to-read,,,,0,0
206318521,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",0,4.21,Ecco,Hardcover,262,2010,2010,,2025/01/26,to-read,to-read (#40),to-read,,,,0,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",5,4.23,Knopf,Hardcover,256,2021,2021,2025/01/26,2025/01/26,,,read,,,,1,0
60916169,Independence,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""0063142384""","=""9780063142381""",5,4.11,William Morrow,Hardcover,288,2023,2023,2024/09/13,2024/09/13,,,read,,,,1,0
62193872,The Education of Yuri,Jerry Pinto,"Pinto, Jerry",,"=""9354472680""","=""9789354472688""",0,4.13,Speaking Tiger,Paperback,408,2022,,,2024/08/01,to-read,to-read (#39),to-read,,,,0,0
199927687,The Lucky Ones,Zara Chowdhary,"Chowdhary, Zara",,"=""0593727436""","=""9780593727430""",0,4.37,Crown,Hardcover,320,2024,2024,,2024/08/01,to-read,to-read (#38),to-read,,,,0,0
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""""","=""""",5,3.97,Knopf,Hardcover,294,2018,2018,,2020/09/17,,,read,,,,2,0
124948662,"A Man of Two Faces: A Memoir, a History, a Memorial",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802160506""","=""9780802160508""",0,4.32,Grove Press,Hardcover,400,2023,2023,,2024/05/17,to-read,to-read (#37),to-read,,,,0,0
16130537,The Humans,Matt Haig,"Haig, Matt",,"=""1476727910""","=""9781476727912""",0,4.07,Simon & Schuster,Hardcover,285,2013,2013,,2024/05/17,to-read,to-read (#36),to-read,,,,0,0
15196,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"Spiegelman, Art",,"=""0394541553""","=""9780394541556""",4,4.39,Pantheon Books,Hardcover,159,1991,1986,2024/05/15,2024/05/13,,,read,,,,1,0
19661,Family Matters,Rohinton Mistry,"Mistry, Rohinton",,"=""037570342X""","=""9780375703423""",0,4.03,Vintage Books,Paperback,434,2003,2002,2024/05/04,2024/04/23,,,read,,,,1,0
33472,"The Contract With God Trilogy: Life on Dropsie Avenue (The Contract With God Trilogy, #1-3)",Will Eisner,"Eisner, Will",,"=""""","=""""",0,4.24,W.W. Norton & Company,Hardcover,498,2005,2005,,2024/04/24,to-read,to-read (#35),to-read,,,,0,0
133938826,Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,"Bo-Reum, Hwang",Shanna Tan,"=""""","=""""",0,3.89,Bloomsbury Publishing,Hardcover,307,2024,2022,,2024/04/23,to-read,to-read (#34),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",4,4.47,Random House,Hardcover,352,2018,2018,2024/04/23,2024/02/03,,,read,,,,1,0
205701511,Nine Yard Sarees: A Short Story Cycle,Prasanthi Ram,"Ram, Prasanthi",,"=""9811860351""","=""9789811860355""",4,4.40,Ethos Books,Paperback,272,2023,,,2024/04/23,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472,2014,2006,,2024/04/23,to-read,to-read (#33),to-read,,,,0,0
25733573,Reasons to Stay Alive,Matt Haig,"Haig, Matt",,"=""0143128728""","=""9780143128724""",0,4.06,Penguin Life,Paperback,256,2016,2015,,2024/04/11,to-read,to-read (#32),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.15,Vintage Books,Paperback,559,2004,1992,,2024/02/25,to-read,to-read (#31),to-read,,,,0,0
51792100,A Burning,Megha Majumdar,"Majumdar, Megha",,"=""0525658696""","=""9780525658696""",0,3.72,Knopf Publishing Group,Hardcover,304,2020,2020,,2024/02/03,,,read,,,,1,0
43276213,Version Zero,David  Yoon,"Yoon, David",,"=""0593190351""","=""9780593190357""",2,3.35,G.P. Putnam's Sons,Hardcover,368,2021,2021,2023/07/17,2022/05/04,,,read,,,,1,0
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",5,3.98,Viking,Hardcover,288,2020,2020,,2023/07/17,,,read,,,,1,0
991197,The Complete Persepolis,Marjane Satrapi,"Satrapi, Marjane",,"=""0375714839""","=""9780375714832""",5,4.40,Pantheon Books,Paperback,341,2007,2007,2022/06/29,2022/06/29,,,read,,,,1,0
8686068,"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,"Higashino, Keigo","Alexander O. Smith, Elye J. Alexander","=""0312375069""","=""9780312375065""",3,4.17,Minotaur Books,Hardcover,298,2011,2005,2022/05/04,2022/04/20,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""9798804636129""",4,3.87,Harper,Paperback,212,2016,2016,,2022/04/20,,,read,,,,1,0
13547241,Unorthodox: The Scandalous Rejection of My Hasidic Roots,Deborah Feldman,"Feldman, Deborah",,"=""1439187010""","=""9781439187012""",3,4.00,Simon & Schuster,Paperback,262,2012,2012,2022/04/04,2022/03/22,,,read,,,,1,0
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Jashar Awan,"=""""","=""""",0,4.31,Alfred A. Knopf,Hardcover,477,2013,2013,2022/03/20,2022/02/23,,,read,,,,1,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",4,3.96,Random House,Paperback,321,1997,1997,,2022/02/16,,,read,,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",5,4.44,Crown,Hardcover,448,2018,2018,,2021/11/23,,,read,,,,1,0
11330361,A Stolen Life,Jaycee Dugard,"Dugard, Jaycee",,"=""1451629184""","=""9781451629187""",0,3.97,Simon & Schuster,Hardcover,273,2011,2011,,2021/11/23,,,read,,,,1,0
20578810,While the Gods Were Sleeping,Elizabeth Enslin,"Enslin, Elizabeth",,"=""1580055443""","=""9781580055444""",4,3.57,Seal Press,Paperback,309,2014,2014,,2021/10/12,,,read,,,,1,0
